City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
91,Arraial Do Cabo,BR,80.6,scattered clouds,-22.97,-42.03,Pousada Porto Praia
92,Vila Franca Do Campo,PT,77.0,scattered clouds,37.72,-25.43,Pestana Bahia Praia
99,Salalah,OM,82.4,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
101,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
104,Cururupu,BR,87.39,overcast clouds,-1.83,-44.87,Pousada Través'cia
105,Vila,PT,88.0,broken clouds,42.03,-8.16,Hotel Castrum Villae
106,Eyl,SO,77.76,broken clouds,7.98,49.82,Amiin Hotel
109,Aksarayskiy,RU,78.8,broken clouds,46.79,48.01,
110,Awash,ET,78.31,light rain,8.98,40.17,Kediga hotel
111,Tulum,MX,84.0,clear sky,20.22,-87.47,Kin Ha
113,Castro,BR,78.12,overcast clouds,-24.79,-50.01,CHACARA BAILLY
115,Arrifes,PT,77.0,scattered clouds,37.77,-25.7,Hotel Ponta Delgada
116,Deori Khas,IN,79.81,light rain,23.4,79.02,UMA TAE CENTER
117,Ritchie,ZA,89.6,clear sky,-29.04,24.6,Riverside country club
118,Bintulu,MY,78.8,moderate rain,3.17,113.03,900 Boutique INN
122,Maunabo,PR,88.0,clear sky,18.01,-65.9,Maunacaribe
124,Padang,ID,76.69,light rain,-0.95,100.35,Mercure Padang
127,Mayo,US,75.99,light rain,38.89,-76.51,Resorts Resource Group International
130,Cagdianao,PH,84.13,overcast clouds,9.92,125.67,Elago Boarding House
134,Hasaki,JP,77.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
140,Dingle,PH,77.4,overcast clouds,11.0,122.67,Camp Pasica
146,La Rioja,ES,86.0,few clouds,42.25,-2.5,Casa Concejos
148,Itoman,JP,80.6,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
161,Toma,BF,88.25,overcast clouds,12.77,-2.88,Auberge de l'amitié
163,Hobyo,SO,77.04,broken clouds,5.35,48.53,Osmani Hotel
165,Ladario,BR,87.8,broken clouds,-19.0,-57.6,Hotel Fazenda 4 cantos
173,Saint-Orens-De-Gameville,FR,82.0,broken clouds,43.55,1.53,Appart'City Confort Toulouse Diagora Labège - Appart Hôtel
174,Samastipur,IN,87.64,overcast clouds,25.85,85.78,Hotel Madanlok
175,Port Blair,IN,82.76,light rain,11.67,92.75,Fortune Resort Bay Island
176,Kavieng,PG,82.56,overcast clouds,-2.57,150.8,Nusa Island Retreat
177,Glens Falls,US,77.0,broken clouds,43.31,-73.64,Super 8 by Wyndham Queensbury Glens Falls
183,Merauke,ID,76.44,few clouds,-8.47,140.33,
186,Kayes,ML,81.68,overcast clouds,14.0,-11.0,
187,Bethel,US,78.01,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
189,Avera,US,78.8,overcast clouds,33.19,-82.53,
190,Ponta Do Sol,PT,80.6,few clouds,32.67,-17.1,Hotel do Campo
191,Lexington,US,79.0,clear sky,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
196,Namatanai,PG,79.57,light rain,-3.67,152.43,Namatanai Hotel
200,Hambantota,LK,80.6,broken clouds,6.12,81.12,Bungalow 63
203,Nago,JP,80.6,few clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
204,Kahului,US,77.0,clear sky,20.89,-156.47,Maui Seaside Hotel
207,Panama City,PA,82.0,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
209,Vallenar,CL,81.77,few clouds,-28.57,-70.76,Humacao Bed & Breakfast
210,Miri,MY,80.6,light rain,4.41,114.01,"Mega Hotel, Miri"
216,Am Timan,TD,85.28,scattered clouds,11.03,20.28,
218,Roma,US,80.01,clear sky,43.21,-75.46,Wingate By Wyndham Rome
220,Sao Joao Da Barra,BR,80.6,few clouds,-21.64,-41.05,Pousada Porto De Canoas
224,Pemangkat,ID,80.24,broken clouds,1.17,108.97,Kost H.Syamsuddin
227,Bandarbeyla,SO,77.16,few clouds,9.49,50.81,REER XOOSHLE GROUP
228,Vila Do Maio,CV,84.2,scattered clouds,15.13,-23.22,Residence 'I Delfini'
229,Oussouye,SN,87.8,broken clouds,12.48,-16.55,Auberge du Routard
232,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
235,Victoria,HK,82.0,light rain,22.29,114.16,Mini Hotel Central
236,Antsohihy,MG,78.8,scattered clouds,-14.88,47.99,Hotel de Ville
238,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
239,Boyolangu,ID,75.04,broken clouds,-8.12,111.89,Yos ega cv
243,Kilindoni,TZ,76.8,broken clouds,-7.91,39.67,Bustani B&B
247,Riberalta,BO,82.4,smoke,-10.98,-66.1,Hotel Colonial
249,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
253,Itarema,BR,88.56,scattered clouds,-2.92,-39.92,Windvillage
261,Buala,SB,78.91,light rain,-8.14,159.59,Maringe Lagoon Lodge
262,Porbandar,IN,82.22,scattered clouds,21.64,69.61,Lords Inn Porbandar
263,Houma,US,88.0,overcast clouds,29.6,-90.72,Courtyard by Marriott Houma
264,Tabora,TZ,81.9,broken clouds,-5.02,32.8,Barcelona Lodge
266,Gizo,SB,80.08,moderate rain,-8.1,156.84,Imagination Island
268,Valenca,BR,79.84,scattered clouds,-13.37,-39.07,Hotel Galeão
273,Ponta Delgada,PT,77.0,scattered clouds,37.73,-25.67,Vila Nova Hotel
275,Acapulco,MX,85.08,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
278,Wewak,PG,80.37,moderate rain,-3.55,143.63,In Wewak Boutique Hotel
282,Kannangad,IN,78.8,moderate rain,12.31,75.11,Hotel Landmark
285,Guerrero Negro,MX,78.71,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
287,Gat,IL,87.01,clear sky,31.61,34.76,OlusHome
288,Banda Aceh,ID,79.23,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
289,Jaranwala,PK,88.68,clear sky,31.33,73.43,Sardar Asslam Doger
293,Madang,PG,78.48,heavy intensity rain,-5.22,145.8,Comfort Inn Hotel
294,Korla,CN,75.2,clear sky,41.76,86.15,Gulisitan Hotel
300,Cortland,US,79.0,clear sky,42.6,-76.08,Cortland Motel
302,Harper,LR,77.11,overcast clouds,4.38,-7.72,Screensaver
304,Phonhong,LA,78.1,overcast clouds,18.5,102.42,Napakuang Resort
305,Inhambane,MZ,77.0,scattered clouds,-23.86,35.38,Oceano
307,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
309,Berbera,SO,89.42,clear sky,10.44,45.01,Damal Hotel
311,Puerto Escondido,MX,86.04,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
312,Acarau,BR,89.78,scattered clouds,-2.89,-40.12,castelo pizzaria
316,Garowe,SO,86.7,few clouds,8.41,48.48,Curubo Hotel
317,Sulangan,PH,84.94,overcast clouds,11.14,123.72,Maia's Beach Resort
320,Narwana,IN,85.33,clear sky,29.62,76.12,Dth Service Narwana
322,Nishihara,JP,80.6,few clouds,26.18,127.76,Minshuku Agaihama
323,Manavalakurichi,IN,82.4,drizzle,8.13,77.3,Udaya Boys Hostel
328,Palauig,PH,82.62,overcast clouds,15.44,119.9,Myhousebythesea
331,Akalkot,IN,84.94,very heavy rain,17.53,76.22,Hotel Vikas
334,Georgetown,MY,84.2,scattered clouds,5.41,100.34,Cititel Penang
341,Matamoros,MX,78.01,scattered clouds,25.53,-103.25,Recreativo Sabdy Briseidy
342,Athens,GR,86.0,clear sky,37.98,23.72,Novotel Athenes
343,Iralaya,HN,82.4,few clouds,15.0,-83.23,Iglesia morava renovada
