City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Am Timan,TD,11.03,20.28,85.28,73,36,2.01,scattered clouds
217,Valley City,US,46.92,-98.0,41.0,100,1,4.7,clear sky
218,Roma,US,43.21,-75.46,80.01,73,0,1.99,clear sky
219,Sobolevo,RU,54.43,31.9,57.13,83,5,8.14,clear sky
220,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,61,20,11.41,few clouds
221,Yumen,CN,40.28,97.2,67.95,27,0,11.77,clear sky
222,Along,IN,28.17,94.77,74.32,89,100,0.6,overcast clouds
223,Willowmore,ZA,-33.29,23.49,72.37,33,0,7.14,clear sky
224,Pemangkat,ID,1.17,108.97,80.24,78,79,2.75,broken clouds
225,Upernavik,GL,72.79,-56.15,32.34,82,0,16.93,clear sky
226,Pevek,RU,69.7,170.31,41.14,96,100,15.05,light rain
227,Bandarbeyla,SO,9.49,50.81,77.16,79,13,25.88,few clouds
228,Vila Do Maio,CV,15.13,-23.22,84.2,79,40,10.29,scattered clouds
229,Oussouye,SN,12.48,-16.55,87.8,70,75,6.93,broken clouds
230,Foumban,CM,5.73,10.9,71.96,93,38,1.39,moderate rain
231,Mizan Teferi,ET,6.98,35.58,63.88,92,28,1.9,light rain
232,Ribeira Grande,PT,38.52,-28.7,75.2,83,40,11.41,scattered clouds
233,Tazovskiy,RU,67.47,78.7,45.86,88,80,2.84,broken clouds
234,Cidreira,BR,-30.18,-50.21,64.44,94,95,20.36,overcast clouds
235,Victoria,HK,22.29,114.16,82.0,86,99,5.99,light rain
236,Antsohihy,MG,-14.88,47.99,78.8,46,30,10.78,scattered clouds
237,Broken Hill,AU,-31.95,141.43,51.8,66,45,4.7,scattered clouds
238,Nouadhibou,MR,20.93,-17.03,84.2,62,0,9.17,clear sky
239,Boyolangu,ID,-8.12,111.89,75.04,89,52,4.72,broken clouds
240,East London,ZA,-33.02,27.91,62.6,88,90,19.46,overcast clouds
241,Roald,NO,62.58,6.13,50.0,89,100,1.01,overcast clouds
242,Kropotkin,RU,45.44,40.58,70.38,28,0,6.11,clear sky
243,Kilindoni,TZ,-7.91,39.67,76.8,78,54,17.05,broken clouds
244,Cavalcante,BR,-13.8,-47.46,91.98,17,2,9.28,clear sky
245,Parkes,AU,-33.13,148.18,53.01,92,78,1.99,broken clouds
246,Strezhevoy,RU,60.73,77.59,53.6,93,100,4.74,light rain
247,Riberalta,BO,-10.98,-66.1,82.4,61,87,6.93,smoke
248,Tommot,RU,58.96,126.29,43.11,78,30,6.13,scattered clouds
249,Cockburn Town,TC,21.46,-71.14,84.2,74,40,9.17,scattered clouds
250,Lompoc,US,34.64,-120.46,68.0,93,90,3.36,overcast clouds
251,Asau,RO,46.43,26.4,70.0,69,0,1.48,clear sky
252,Geraldton,AU,-28.77,114.6,62.6,93,90,8.05,overcast clouds
253,Itarema,BR,-2.92,-39.92,88.56,45,40,20.74,scattered clouds
254,Boguchany,RU,58.38,97.45,50.68,92,98,4.41,light rain
255,Malaryta,BY,51.79,24.07,67.42,75,0,6.62,clear sky
256,Talnakh,RU,69.49,88.4,46.4,100,75,4.47,broken clouds
257,Tasiilaq,GL,65.61,-37.64,33.71,89,100,15.52,overcast clouds
258,Portland,US,45.52,-122.68,71.6,21,20,11.41,smoke
259,Shitkino,RU,56.37,98.35,48.6,93,100,2.26,overcast clouds
260,Karoi,ZW,-16.81,29.69,67.46,28,0,4.9,clear sky
261,Buala,SB,-8.14,159.59,78.91,80,95,5.17,light rain
262,Porbandar,IN,21.64,69.61,82.22,78,37,10.83,scattered clouds
263,Houma,US,29.6,-90.72,88.0,58,94,4.0,overcast clouds
264,Tabora,TZ,-5.02,32.8,81.9,27,56,4.88,broken clouds
265,Verkhoyansk,RU,67.54,133.38,42.06,68,0,2.06,clear sky
266,Gizo,SB,-8.1,156.84,80.08,80,100,11.97,moderate rain
267,Severo-Kurilsk,RU,50.68,156.12,48.43,86,98,13.71,overcast clouds
268,Valenca,BR,-13.37,-39.07,79.84,68,41,6.58,scattered clouds
269,Koumac,NC,-20.57,164.28,64.98,77,0,5.21,clear sky
270,Salinas,US,36.68,-121.66,66.2,87,90,10.29,overcast clouds
271,Ruteng,ID,-8.61,120.47,61.03,100,96,1.41,overcast clouds
272,Huarmey,PE,-10.07,-78.15,67.46,68,61,9.31,broken clouds
273,Ponta Delgada,PT,37.73,-25.67,77.0,83,40,12.75,scattered clouds
274,Lerwick,GB,60.15,-1.15,52.41,74,28,19.15,light rain
275,Acapulco,MX,16.86,-99.89,85.08,66,74,4.72,broken clouds
276,Chumikan,RU,54.72,135.31,51.69,80,97,6.67,overcast clouds
277,Pisco,PE,-13.7,-76.22,64.99,77,14,9.17,few clouds
278,Wewak,PG,-3.55,143.63,80.37,82,75,9.86,moderate rain
279,Ulladulla,AU,-35.35,150.47,53.6,87,90,6.93,overcast clouds
280,Nogliki,RU,51.83,143.17,51.51,93,100,11.95,overcast clouds
281,Kruisfontein,ZA,-34.0,24.73,64.0,72,0,5.01,clear sky
282,Kannangad,IN,12.31,75.11,78.8,94,75,1.12,moderate rain
283,Ust-Ishim,RU,57.69,71.17,48.81,82,22,3.87,few clouds
284,Nelson Bay,AU,-32.72,152.15,57.0,100,90,5.82,overcast clouds
285,Guerrero Negro,MX,27.98,-114.06,78.71,66,23,9.01,few clouds
286,Chapais,CA,49.78,-74.85,46.4,87,90,2.24,overcast clouds
287,Gat,IL,31.61,34.76,87.01,68,0,1.01,clear sky
288,Banda Aceh,ID,5.56,95.32,79.23,72,98,12.3,overcast clouds
289,Jaranwala,PK,31.33,73.43,88.68,31,0,2.64,clear sky
290,Kenai,US,60.55,-151.26,48.2,70,1,13.87,clear sky
291,At-Bashi,KG,41.17,75.81,53.74,40,9,3.51,clear sky
292,Plastun,RU,44.76,136.29,60.73,90,91,2.37,overcast clouds
